polling_station_code,centre_code,centre_name,bureau_code,bureau_num,registered
BONOUA-013-BV06,013,GROUPE SCOLAIRE OBROU KOUASSI,BV06,6,376
BONOUA-014-BV01,014,COLLEGE CHRIST-ROI,BV01,1,408
BONOUA-014-BV02,014,COLLEGE CHRIST-ROI,BV02,2,400
BONOUA-014-BV03,014,COLLEGE CHRIST-ROI,BV03,3,400
BONOUA-014-BV04,014,COLLEGE CHRIST-ROI,BV04,4,400
BONOUA-014-BV05,014,COLLEGE CHRIST-ROI,BV05,5,400
BONOUA-015-BV01,015,GROUPE SCOLAIRE EMMANUEL,BV01,1,392
BONOUA-015-BV02,015,GROUPE SCOLAIRE EMMANUEL,BV02,2,392
BONOUA-015-BV03,015,GROUPE SCOLAIRE EMMANUEL,BV03,3,392
BONOUA-015-BV04,015,GROUPE SCOLAIRE EMMANUEL,BV04,4,392
BONOUA-015-BV05,015,GROUPE SCOLAIRE EMMANUEL,BV05,5,384
BONOUA-016-BV01,016,EPP AMETHIER JEAN BAPTISTE,BV01,1,376
BONOUA-016-BV02,016,EPP AMETHIER JEAN BAPTISTE,BV02,2,370
BONOUA-016-BV03,016,EPP AMETHIER JEAN BAPTISTE,BV03,3,368
BONOUA-016-BV04,016,EPP AMETHIER JEAN BAPTISTE,BV04,4,368
BONOUA-016-BV05,016,EPP AMETHIER JEAN BAPTISTE,BV05,5,368
BONOUA-017-BV01,017,PLACE PUBLIQUE KODJOBOUE,BV01,1,412
BONOUA-017-BV02,017,PLACE PUBLIQUE KODJOBOUE,BV02,2,408
BONOUA-018-BV01,018,COLLEGE JESUS-MARIE,BV01,1,320
BONOUA-018-BV02,018,COLLEGE JESUS-MARIE,BV02,2,317
BONOUA-019-BV01,019,EPP ANDRE MAUD,BV01,1,417
BONOUA-020-BV01,020,FOYER DES JEUNES DE BONOUA,BV01,1,419
BONOUA-020-BV02,020,FOYER DES JEUNES DE BONOUA,BV02,2,416
BONOUA-020-BV03,020,FOYER DES JEUNES DE BONOUA,BV03,3,416
BONOUA-021-BV01,021,EPP YAOU C ET D,BV01,1,344
BONOUA-021-BV02,021,EPP YAOU C ET D,BV02,2,344
BONOUA-021-BV03,021,EPP YAOU C ET D,BV03,3,339
BONOUA-021-BV04,021,EPP YAOU C ET D,BV04,4,336
